,course_name,picture_link,course_link,itemid,category
57,小明讲堂，我要过六级,http://ckimg.baidu.com/course/2016-07/26/307235029dbbeae6c161988707b1a9cd.jpg,http://chuanke.baidu.com/6704627-180788.html,596,exam
58,外研社unipus新四级冲刺精华课,http://ckimg.baidu.com/course/2016-07/22/b9b44ffca181784042a3763ff86bbe00.jpg,http://chuanke.baidu.com/6657973-182671.html,580,exam
59,【CET】英语四级试听课（录播）,http://ckimg.baidu.com/course/2014-09/24/60a296bada755a5dbb48d4d2e006a558.jpg,http://chuanke.baidu.com/1860641-112430.html,41,exam
60,万门大学——六级真题课,http://ckimg.baidu.com/course/2015-10/22/83912297c752dd7a05c65e70c4ae7e4a.jpg,http://chuanke.baidu.com/2347267-124208.html,581,exam
61,地理信息系统行业案例,http://ckimg.baidu.com/course/2018-01/16/f434213b8f1b920e1be8c8bbcf1b5c27.jpg,http://chuanke.baidu.com/7173541-247011.html,359,computer
62,大数据分析与应用  主讲：张伟,http://ckimg.baidu.com/course/2018-01/12/0d53e31f6bee278067c7c0d5269dad9e.jpg,http://chuanke.baidu.com/6697189-246851.html,342,computer
63,大数据分析道与术,http://ckimg.baidu.com/course/2016-12/02/5dc3a0f0211ed27aefc52f11a2100e5f.jpg,http://chuanke.baidu.com/10822-201838.html,341,computer
64,大数据Hadoop入门轻松学,http://ckimg.baidu.com/course/2017-10/25/3c8ee137d3966a8f1a73772766654492.jpg,http://chuanke.baidu.com/7633626-239316.html,339,computer
65,微信开发微信小程序开发,http://ckimg.baidu.com/course/2017-10/12/4c6e9a83ad79665c45da60bbde06ddd9.jpg,http://chuanke.baidu.com/1827213-237834.html,583,computer
66,爱思益-互联网求职专区,http://ckimg.baidu.com/course/2017-10/19/fa0066d957c95c6235f576aa6dd0cb62.jpg,http://chuanke.baidu.com/7057775-238574.html,309,computer
67,淘宝运营首页流量搜索流量实战,http://ckimg.baidu.com/course/2017-10/18/f359579c07796df4d0d6ef19b0ee92a1.jpg,http://chuanke.baidu.com/9180961-236676.html,570,computer
68,R语言入门与实战,http://ckimg.baidu.com/course/2017-10/06/b0c5be4c069cda5606fe542a50bc5b58.jpg,http://chuanke.baidu.com/7156034-234348.html,291,computer
69,R语言爬虫详解与实战,http://ckimg.baidu.com/course/2017-10/04/8dcdee6941ce9cb9a01c738bcc36ee19.jpg,http://chuanke.baidu.com/7156034-234397.html,290,computer
70,【51CTO学院】实战微课-平面设计师印刷后期需要了解的技能,http://ckimg.baidu.com/course/2017-09/05/ace33936f4815ab2b099eaf578feb384.jpg,http://chuanke.baidu.com/1953475-234145.html,35,job
71,【51CTO学院】实战微课-平面设计师处理印刷必备小技能,http://ckimg.baidu.com/course/2017-09/05/1ede1d3c4a001dffd2103d663ead7eda.jpg,http://chuanke.baidu.com/1953475-234144.html,34,job
72,【51CTO学院】实战微课-10分钟学会如何计算印刷开本视频课程,http://ckimg.baidu.com/course/2017-09/20/0a789ab676a8278912f1cbb8b32a782f.jpg,http://chuanke.baidu.com/1953475-234119.html,23,job
73,【51CTO学院】实战微课-10分钟学会印刷中纸张费用的计算视频课程,http://ckimg.baidu.com/course/2017-09/20/b2260740c6d4912c10ac42119e7e77d5.jpg,http://chuanke.baidu.com/1953475-234117.html,24,job
74,【51CTO学院】实战微课-印刷设计中的常识问题,http://ckimg.baidu.com/course/2017-09/05/f093e320d79729a73498e0c0e0fd91ea.jpg,http://chuanke.baidu.com/1953475-234146.html,39,job
75,【干货班】SEO晋级大神之路全套课程【疯狂极客】,http://ckimg.baidu.com/course/2017-09/04/5857abc90e6a72503f8e79d5ffd5f684.jpg,http://chuanke.baidu.com/9095482-233735.html,51,job
76,PHP项目实战-8小时开发个人博客,http://ckimg.baidu.com/course/2017-08/22/3f75511f04b24d6675ef312837bb6ba6.jpg,http://chuanke.baidu.com/4702151-231797.html,270,computer
77,狮子山inventor视频教程,http://ckimg.baidu.com/course/2017-08/13/e27a2a18c75fe1ac638b4a1b1ea26354.jpg,http://chuanke.baidu.com/6690132-231241.html,542,computer
78,狮子山SolidWorks视频教程,http://ckimg.baidu.com/course/2017-08/13/89d207b4a8d6ed8106a07a366752b314.jpg,http://chuanke.baidu.com/6690132-230973.html,543,computer
79,狮子山3d打印,http://ckimg.baidu.com/course/2017-08/13/62930d9addc5743bf217d5c80e8d9909.jpg,http://chuanke.baidu.com/6690132-230986.html,541,computer
80,markdown语法规范(steemit排版专用),http://ckimg.baidu.com/course/2017-08/01/0e34c0350be69b607a9b11d1c694062c.jpg,http://chuanke.baidu.com/2256159-229892.html,244,computer
81,精讲MYSQL数据库,http://ckimg.baidu.com/course/2015-09/22/e13b078ebd1ddda2432867836f765337.jpg,http://chuanke.baidu.com/1347770-151668.html,443,computer
82,数据库系统开发 主讲：敖晓莉,http://ckimg.baidu.com/course/2018-01/15/ac1464646c493ec5aaa587a3f1a62f22.jpg,http://chuanke.baidu.com/6697189-247001.html,559,computer
83,数据库系统原理  主讲：苗莹,http://ckimg.baidu.com/course/2018-01/13/7199406108705327deaef16e53d22e7c.jpg,http://chuanke.baidu.com/6697189-246891.html,560,computer
84,SQL Server数据库基础视频教程,http://ckimg.baidu.com/course/2017-11/22/7faa1d5cbf3e0431287b215883fc7d35.jpg,http://chuanke.baidu.com/8210500-242380.html,297,computer
85,Mysql,http://ckimg.baidu.com/course/2017-10/03/50549755d20eeda517b255d722fa535f.jpg,http://chuanke.baidu.com/8655333-237219.html,248,computer
86,MySQL数据库,http://ckimg.baidu.com/course/2017-09/21/616b99324c2d80a15bfa84342b104899.jpg,http://chuanke.baidu.com/9124676-236103.html,249,computer
87,SQL Server基础入门,http://ckimg.baidu.com/course/2016-12/22/cc063158675538fde5c66f931b0be648.jpg,http://chuanke.baidu.com/6410345-206783.html,296,computer
88,SQL 主讲人：张伟,http://ckimg.baidu.com/course/2017-09/21/f5950ade38cceb294fb5cd1076bc6a80.jpg,http://chuanke.baidu.com/6697189-236097.html,298,computer
89,中文搜索之sphinx,http://ckimg.baidu.com/course/2017-11/08/d051030f7f442b04408747e8cb960fbc.jpg,http://chuanke.baidu.com/5659343-234412.html,634,computer
90,从零开始MongoDB,http://ckimg.baidu.com/course/2017-09/05/9a5d8269810d2918f84e1acb28362820.jpg,http://chuanke.baidu.com/5829532-234190.html,329,computer
91,【51CTO学院】实战微课-5分钟轻松掌握Oracle SQL Developer,http://ckimg.baidu.com/course/2017-09/19/662b6a52d6c12a3f794dd1c60b3a4f94.jpg,http://chuanke.baidu.com/1953475-234167.html,31,computer
92,【51CTO学院】实战微课-5分钟轻松掌握Oracle Auto Trace,http://ckimg.baidu.com/course/2017-09/19/727faba1d632bc0a22b9b70368fb655a.jpg,http://chuanke.baidu.com/1953475-234168.html,30,computer
93,数据库精讲Mysql数据库开发（概述+安装+基本操作）【疯狂极客】,http://ckimg.baidu.com/course/2017-09/04/4968f0011ee4a00b8faa5806fd70a0fc.jpg,http://chuanke.baidu.com/9095482-233615.html,558,computer
94,【51CTO学院】实战微课-5分钟带你学会 Oracle数据库安装( 12.2 ),http://ckimg.baidu.com/course/2017-09/20/1644a3203768694ed84780e32e9d56a6.jpg,http://chuanke.baidu.com/1953475-233610.html,26,computer
95,实战微课-5分钟带你学会 Oracle数据库基础管理1( 12cR2 ),http://ckimg.baidu.com/course/2017-09/20/26c9df5f4ac8bf44180bbb448b6e3960.jpg,http://chuanke.baidu.com/1953475-233696.html,545,computer
96,【51CTO学院】实战微课-5分钟带你学会 Oracle客户端安装配置,http://ckimg.baidu.com/course/2017-09/20/1644a3203768694ed84780e32e9d56a6.jpg,http://chuanke.baidu.com/1953475-233693.html,25,computer
